topic_name,tribe,creation date
k-auth-account-created,Working Capital,2022-06-23 17:25:00
k-cards-authorization-received,Cards,2022-04-25 10:56:00
k-finance-kanto-disbursement-order,Working Capital,2022-09-22 13:00:00
k-mining-cfdi-invoice-data,Working Capital,2022-04-20 13:44:00
k-mining-cfdi-invoice-file,Working Capital,2022-04-21 13:44:00
k-payments-disperse-v1-request,Payments,2022-09-29 14:10:00
k-payments-disperse-v1-request-stg,Payments,2022-09-21 17:08:00
k-payments-disperse-v1-response,Payments,2022-09-29 14:10:00
k-payments-disperse-v1-response-stg,Payments,2022-09-21 17:08:00
k-payments-dispersed-transactions,Payments,2022-01-12 10:56:00
k-payments-hub,Payments,2022-04-25 10:56:00
k-payments-liquidation-approved-transactions,Payments,2022-05-18 15:21:00
k-payments-liquidation-order-response,Payments,2022-05-19 15:21:00
k-payments-liquidation-order-to-generate,Payments,2022-05-20 15:21:00
k-payments-liquidation-transactions-to-liquidate,Payments,2022-05-18 15:21:00
k-payments-order-to-disperse,Payments,2022-09-29 14:29:00
k-payments-order-to-disperse-stg,Payments,2022-09-30 14:53:00
pksqlc-rj65k-processing-log,Cards,2022-10-01 14:53:00
pksqlc-rj65kK_CARDS_AUTHORIZATION_RECEIVED_VIEW,Cards,2022-10-02 14:53:00