topic_name,kind,partitions,replication_factor,configs
_confluent-ksql-pksqlc-rj65k_command_topic,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/_confluent-ksql-pksqlc-rj65k_command_topic/configs
_confluent-ksql-pksqlc-z6n1z_command_topic,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/_confluent-ksql-pksqlc-z6n1z_command_topic/configs
dlq-lcc-22nyk2,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-22nyk2/configs
dlq-lcc-576rk8,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-576rk8/configs
dlq-lcc-7yqwg2,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-7yqwg2/configs
dlq-lcc-do0xro,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-do0xro/configs
dlq-lcc-q23rz2,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-q23rz2/configs
dlq-lcc-v70r6p,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-v70r6p/configs
dlq-lcc-v71wpp,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-v71wpp/configs
dlq-lcc-w7zddg,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-w7zddg/configs
dlq-lcc-w7zn25,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-w7zn25/configs
dlq-lcc-xqyyqk,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-xqyyqk/configs
dlq-lcc-zmyk27,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/dlq-lcc-zmyk27/configs
error-lcc-22nyk2,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-22nyk2/configs
error-lcc-576rk8,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-576rk8/configs
error-lcc-do0xro,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-do0xro/configs
error-lcc-q23rz2,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-q23rz2/configs
error-lcc-v70r6p,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-v70r6p/configs
error-lcc-v71wpp,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-v71wpp/configs
error-lcc-w7zddg,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-w7zddg/configs
error-lcc-w7zn25,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/error-lcc-w7zn25/configs
k-auth-account-created,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-auth-account-created/configs
k-cards-authorization-received,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-cards-authorization-received/configs
k-finance-kanto-disbursement-order,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-finance-kanto-disbursement-order/configs
k-mining-cfdi-invoice-data,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-mining-cfdi-invoice-data/configs
k-mining-cfdi-invoice-file,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-mining-cfdi-invoice-file/configs
k-payments-disperse-v1-request,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-disperse-v1-request/configs
k-payments-disperse-v1-request-stg,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-disperse-v1-request-stg/configs
k-payments-disperse-v1-response,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-disperse-v1-response/configs
k-payments-disperse-v1-response-stg,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-disperse-v1-response-stg/configs
k-payments-dispersed-transactions,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-dispersed-transactions/configs
k-payments-hub,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-hub/configs
k-payments-liquidation-approved-transactions,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-liquidation-approved-transactions/configs
k-payments-liquidation-order-response,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-liquidation-order-response/configs
k-payments-liquidation-order-to-generate,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-liquidation-order-to-generate/configs
k-payments-liquidation-transactions-to-liquidate,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-liquidation-transactions-to-liquidate/configs
k-payments-order-to-disperse,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-order-to-disperse/configs
k-payments-order-to-disperse-stg,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/k-payments-order-to-disperse-stg/configs
pksqlc-rj65k-processing-log,KafkaTopic,8,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/pksqlc-rj65k-processing-log/configs
pksqlc-rj65kK_CARDS_AUTHORIZATION_RECEIVED_VIEW,KafkaTopic,6,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/pksqlc-rj65kK_CARDS_AUTHORIZATION_RECEIVED_VIEW/configs
success-lcc-22nyk2,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-22nyk2/configs
success-lcc-576rk8,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-576rk8/configs
success-lcc-do0xro,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-do0xro/configs
success-lcc-q23rz2,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-q23rz2/configs
success-lcc-v70r6p,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-v70r6p/configs
success-lcc-v71wpp,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-v71wpp/configs
success-lcc-w7zddg,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-w7zddg/configs
success-lcc-w7zn25,KafkaTopic,1,3,https://pkc-pgq85.us-west-2.aws.confluent.cloud/kafka/v3/clusters/lkc-p7035/topics/success-lcc-w7zn25/configs
